address,cuisine,lat,lon,name,opening_hours,phone,website,wheelchair_accessible
Address not available,,51.6020306,-0.1935029,Central Restaurant,,,,unknown
"126, Dartmouth Park Hill, London, N19 5HS",Pizza;mediterranean,51.5649774,-0.140689,Bold Food & Bar,Mo-Th 16:00-23:00; Fr-Sa 16:00-24:00; Su 12:00-23:00,+447585 957 145,https://www.thehouselondon.co.uk/,unknown
"407, London Road, Mitcham, CR4 4BG",indian,51.3980144,-0.1722345,Casuarina Tree,,,,unknown
Address not available,taiwanese,51.5110542,-0.1325596,Old Tree Daiwan Bee,,,,unknown
Address not available,indian,51.472105,-0.3284018,Cinnamon Lounge,,,,unknown
"Boston Road, London, W7 2AX",american,51.4983082,-0.3266794,The Royal,Fr-Sa 09:00-23:00; Su-Th 09:00-22:00,+44 20 8567 3711,https://www.harvester.co.uk/restaurants/london/theroyallondon,unknown
"94, Sydenham Road, London, SE26 5JX",italian,51.4256431,-0.0487489,Tratorria Raffaele,,+44 20 8778 6262,,no
"23-27, Wadeson Street, London, E2 9DR",,51.5340961,-0.0560633,Bistrotheque,,,,unknown
"133, Whitechapel Road, London, E1 1DT",,51.517788,-0.0656989,Mithai Ghar,,,,unknown
"339-343, Wandsworth Road, London, SW8 2JH",portuguese,51.47539,-0.1312087,A toca,,,,unknown
"12-14, Christchurch Road, London, SW19 2NX",,51.4177496,-0.1777821,Venus,,,,unknown
"186A, High Street Colliers Wood, London, SW19 2BN",italian,51.4182745,-0.1782663,Corleone,,,,unknown
"Tandem Way, London, SW19 2TY",chicken;portuguese,51.4136144,-0.1780875,Nando's,,,https://www.nandos.co.uk/restaurants/colliers-wood,unknown
"3, Bedford Road, London, SW4 7SH",pizza,51.4651993,-0.1291139,Alba,,,,unknown
"118, Ferndale Road, London, SW4 7SE",pizza,51.4629835,-0.1239279,Ferndales,We-Su 18:00-22:00,,,unknown
"75-76, Buckingham Gate, London, SW1E 6PD",italian,51.4992102,-0.1378188,Bon Gusto,,,,unknown
"45, Buckingham Gate, London, SW1E 6BS",,51.4986304,-0.1372558,Bank Restaurant & Bar,,+44 20 7630 6644,https://www.individualrestaurants.com/,unknown
"20, Sicilian Avenue, London, WC1A 2QD",italian,51.5186204,-0.1214512,Spaghetti House,,+44 20 7405 5215,https://www.spaghettihouse.co.uk/location/holborn/,unknown
"198-200, Trinity Road, London, SW17 7HR",pizza,51.4427534,-0.1667732,PizzaExpress,,,https://www.pizzaexpress.com/wandsworth-trinity-road,unknown
"27, Turnpike Lane, London, N8 0EP",mauritian,51.5896604,-0.105547,Le Chamarel,,,https://www.lechamarel.co.uk/,unknown
"Festival Terrace, London, SE1 8XX",brazilian,51.5055602,-0.1176655,Las Iguanas,Mo-Th 11:00-22:30; Fr-Sa 11:00-23:00; Su 11:00-22:00,,https://www.iguanas.co.uk/restaurants/london-royal-festival-hall/,limited
"8-10, Orsman Road, London, N1 5QJ",,51.5366022,-0.0789765,Waterhouse,,,,yes
"32, The Pavement, London, SW4 0JE",,51.4631647,-0.1407101,No. 32 The Old Town,09:00 - 23:00,,,unknown
"45, Narrow Street, London, E14 8DX",italian,51.5101159,-0.0394594,La Figa,"Mo-Sa 12:00-23:00, Sa 13:00-23:00, Su 13:00-22:30",+44 20 7790 0077,https://www.lafigarestaurant.co.uk/,unknown
"51, Narrow Street, London, E14 8DN",indian,51.5100931,-0.0387865,Holy Cow,Mo-Su 14:00-23:00,0207 790 7688,https://www.holycowonline.com/locations/limehouse-canary-wharf-indian-restaurant/,unknown
"34, Lupus Street, London, SW1V 3EB",tapas,51.4884009,-0.1374885,Goya,,,,unknown
"9, Conduit Street, London, W1S 2XD",,51.5127342,-0.1414857,Sketch,,+44 20 7659 4500,https://sketch.london/,no
"254, Globe Road, London, E2 0JD",,51.52821,-0.0509194,The Full Monty,,,,unknown
"126, South Lambeth Road, London, SW8 1RB",brazilian,51.4808939,-0.12483,Tia Maria Bar & Kitchen,"Mo-Th, Su 12:00-00:00; Fr, Sa 12:00-01:00",+44 20 7622 3602,,no
"81, Wapping High Street, London, E1W 2YN",italian,51.5032228,-0.0596251,Il Pirata London,,,,yes
"Riverside Level 1, London, SE1 8XX",international;burger,51.5063119,-0.1171395,Giraffe,Mo-Th 08:00-23:00;Fr 08:00-23:30;Sa 09:00-23:30;Su 09:00-22:30,+44 20 7042 6900,https://www.giraffe.net/,unknown
"46, Moreton Street, London, SW1V 2PB",pizza,51.4888419,-0.137108,PizzaExpress,,,https://www.pizzaexpress.com/london-pimlico,unknown
"34-38, High Street, London, E11 2RJ",,51.5767346,0.0270735,Luppolo,,,https://luppolopizza.com/,unknown
"16, New Crane Place, London, E1W 3TU",,51.505619,-0.054029,River View Restaurant,,,http://www.riverview-restaurant.com/,unknown
"99, High Holborn, London, WC1V 6LF",pizza,51.5178558,-0.1187798,PizzaExpress,,,https://www.pizzaexpress.com/london-high-holborn,unknown
"237, Mile End Road, London, E1 4AA",,51.5222995,-0.0446566,Verdi's,,,,unknown
"5, Hoxton Market, London, N1 6HG",chinese,51.5271512,-0.0828862,Jabinjia Hotpot,,,,unknown
"316, Kennington Road, London, SE11 4LD",pizza,51.4872825,-0.1115445,PizzaExpress,Mo-We 11:30-22:00; Th-Sa 11:30-23:00; Su 11:30-22:00,+44 20 7820 3877,https://www.pizzaexpress.com/london-kennington-road,no
"3-4, Grosvenor Parade, London, W5 3NN",japanese;sushi,51.5096682,-0.2862229,Ta Ke,Mo-Su 12:00-22:30,+44 20 8075 8877,https://www.take-sushi.co.uk/,unknown
Address not available,chicken;portuguese,51.5101708,-0.2879784,Nando's,Tu 11:30-19:00; We off; Th-Mo 11:30-22:00,+44 20 8992 2290,https://www.nandos.co.uk/restaurants/ealing-common,yes
Address not available,greek,51.5416421,-0.1570131,Lemonia,,+44 20 7586 7454,https://www.lemonia.co.uk/,yes
"314-316, Vauxhall Bridge Road, London, SW1V 1AA",italian,51.4957287,-0.1419336,Il Posto,,,,unknown
"65-67, Amsterdam Road, London, E14 3UU",indian,51.4955582,-0.0068108,Memsaheb,Mo-Su 17:30-23:00,,https://memsahebe14.uk/home,unknown
"4, Heddon Street, London, W1B 4BS",french,51.5109108,-0.1393146,Aubaine,,,https://aubaine.co.uk/locations/heddon-street/,unknown
Address not available,regional,51.5717552,-0.1667879,The Brew House,Dec-Jan: Mo-Su 09:00-16:00; Feb-Mar: Mo-Su 09:00-17:00; Apr-Sep: Mo-Su 09:00-18:00; Oct-Nov: Mo-Su 09:00-17:00,,http://searcyskenwoodhouse.co.uk,unknown
"3, West Ham Lane, London, E15 4PH",,51.5406572,0.0021123,Wraps and Wings,24/7,,,unknown
"32, Westferry Road, London, E14 8LW",,51.4997405,-0.026204,Clifton Restaurant,,,,unknown
"26, Maddox Street",steak_house,51.5131214,-0.1422056,Goodman,,+44 20 7499 3776,https://www.goodmanrestaurants.com/,yes
"8-10, Pollen Street",,51.513393,-0.1423314,Mary's,,,https://www.pollenstreetsocial.com/,limited
"1, Denbigh Street, London, SW1V 2HF",italian,51.4920195,-0.140075,Uno,,,,unknown
"8-42, St. Davids Square, London, E14 3WA",thai,51.4861623,-0.0136551,Kinkao Thai Restaurant,"Mo-Th 12:00-15:00,17:30-23:00, Fr 12:00-15:00,17:30-24:00, Sa 12:00-24:00, Su 12:00-22:00",,,unknown
"1277, High Road, London, N20 9HS",lebanese,51.6306596,-0.175384,Maya Lounge,"Su-Th 18:00-01:00, Fr-Sa 18:00-02:00",,,unknown
